city,country,category,season,description
Paris,France,City,Summer,Historic landmarks like Eiffel Tower and Louvre Museum.
Bali,Indonesia,Beach,Summer,"Tropical beaches, surfing, temples, and vibrant culture."
Zurich,Switzerland,Mountain,Winter,"Snowy Alps, skiing, chocolate and cozy chalets."
Dubai,UAE,City,Winter,"Modern skyline, luxury shopping, desert safaris."
Kyoto,Japan,Culture,Spring,"Ancient temples, cherry blossoms, and traditional tea houses."
Reykjavik,Iceland,Nature,Winter,"Northern lights, glaciers, and hot springs."
Barcelona,Spain,City,Summer,"Art, beaches, tapas, and vibrant nightlife."
Banff,Canada,Mountain,Summer,"Rocky Mountains, lakes, and hiking trails."
Santorini,Greece,Beach,Summer,"Whitewashed buildings, sunsets, and caldera views."
Cairo,Egypt,Historic,Winter,"Pyramids of Giza, ancient temples, and museums."
Queenstown,New Zealand,Adventure,Summer,"Bungee jumping, skydiving, and fjord cruises."
Bangkok,Thailand,City,Winter,"Street food, temples, and vibrant markets."
Marrakech,Morocco,Culture,Spring,"Souks, palaces, and desert excursions."
Rome,Italy,Historic,Spring,"Colosseum, Roman ruins, and Italian cuisine."
Amsterdam,Netherlands,City,Spring,"Canals, museums, tulips, and bicycles."
Cape Town,South Africa,Beach,Summer,"Table Mountain, beaches, and vineyards."
Hanoi,Vietnam,Culture,Autumn,"Old Quarter, street food, and scenic bays."
Petra,Jordan,Historic,Winter,Rock-cut architecture and archaeological wonders.
Maui,USA,Beach,Summer,"Volcanic landscapes, snorkeling, and scenic drives."
Budapest,Hungary,City,Spring,"Thermal baths, castles, and Danube cruises."
Cusco,Peru,Historic,Autumn,Gateway to Machu Picchu and Incan history.
Vienna,Austria,Culture,Winter,"Opera, imperial palaces, and Christmas markets."
Sydney,Australia,Beach,Summer,"Opera House, Bondi Beach, and harbor views."
Seoul,South Korea,City,Spring,"Palaces, tech, and cherry blossoms."
Prague,Czech Republic,Historic,Spring,Medieval architecture and old town charm.
Lisbon,Portugal,City,Summer,"Trams, hills, food, and music."
Havana,Cuba,Culture,Winter,"Classic cars, salsa, and colonial buildings."
Athens,Greece,Historic,Autumn,"Acropolis, ruins, and Mediterranean cuisine."
Istanbul,Turkey,Culture,Spring,"Mosques, bazaars, and East-meets-West feel."
Los Angeles,USA,City,Summer,"Hollywood, beaches, and shopping."
Tokyo,Japan,City,Spring,"Neon lights, sushi, tech, and tradition."
Rovaniemi,Finland,Nature,Winter,Santa Claus village and arctic adventures.
Berlin,Germany,City,Autumn,"History, museums, and modern culture."
Tulum,Mexico,Beach,Winter,"Ruins, cenotes, and boho beaches."
Jaipur,India,Historic,Winter,"Palaces, forts, and colorful culture."
Edinburgh,Scotland,Historic,Summer,"Castles, festivals, and hilly landscapes."
Beijing,China,Historic,Autumn,"Great Wall, Forbidden City, and local cuisine."
Zanzibar,Tanzania,Beach,Summer,White-sand beaches and spice farms.
San Francisco,USA,City,Summer,"Golden Gate, tech hub, and sea breeze."
Rio de Janeiro,Brazil,Beach,Summer,"Carnival, beaches, and Sugarloaf Mountain."
Lima,Peru,City,Autumn,"Gastronomy, coastline, and colonial history."
